date,cp_name,tag,count
20191017,EBS,clean,6
20191017,JTBC,abuse,2
20191017,JTBC,clean,62
20191017,JTBC,profession,1
20191017,KBS,abuse,2
20191017,KBS,clean,177
20191017,KBS,gender,1
20191017,KBS,neutral,1
20191017,KBS,profession,1
20191017,MBC,clean,108
20191017,MBC,profession,1
20191017,MBN,clean,43
20191017,MBN,profession,2
20191017,SBS,clean,88
20191017,SBS,gender,1
20191017,SBS,profession,1
20191017,YTN,abuse,1
20191017,YTN,clean,184
20191017,YTN,gender,1
20191017,YTN,molka,1
20191017,YTN,profession,3
20191017,경향신문,clean,88
20191017,국민일보,abuse,1
20191017,국민일보,clean,88
20191017,국민일보,profession,4
20191017,기자협회보,clean,5
20191017,노컷뉴스,clean,148
20191017,노컷뉴스,profession,1
20191017,뉴스1,clean,590
20191017,뉴스1,gender,4
20191017,뉴스1,neutral,1
20191017,뉴스1,profession,4
20191017,뉴스타파,clean,1
20191017,뉴시스,clean,577
20191017,더팩트,clean,15
20191017,데일리안,clean,6
20191017,데일리안,profession,1
20191017,동아일보,abuse,1
20191017,동아일보,clean,71
20191017,동아일보,profession,3
20191017,디지털타임스,clean,10
20191017,럭셔리,clean,3
20191017,리빙센스,clean,1
20191017,마리끌레르,clean,2
20191017,마이데일리,clean,1
20191017,매일경제,clean,28
20191017,머니S,clean,90
20191017,머니투데이,abuse,1
20191017,머니투데이,clean,192
20191017,머니투데이,molka,1
20191017,머니투데이,profession,3
20191017,문화일보,clean,43
20191017,문화일보,profession,1
20191017,미디어오늘,clean,10
20191017,서울경제,clean,85
20191017,서울신문,bearing,1
20191017,서울신문,clean,95
20191017,서울신문,profession,1
20191017,세계일보,clean,105
20191017,세계일보,profession,1
20191017,스포츠경향,bearing,1
20191017,스포츠경향,clean,8
20191017,스포츠동아,clean,2
20191017,스포츠조선,clean,18
20191017,시사IN,clean,3
20191017,시사저널,clean,12
20191017,시사저널,profession,2
20191017,신동아,clean,1
20191017,아시아경제,abuse,1
20191017,아시아경제,clean,150
20191017,아이뉴스24,clean,5
20191017,연합뉴스,abuse,1
20191017,연합뉴스,bearing,2
20191017,연합뉴스,clean,640
20191017,연합뉴스,gender,2
20191017,연합뉴스,molka,1
20191017,연합뉴스,profession,3
20191017,연합뉴스TV,abuse,2
20191017,연합뉴스TV,clean,88
20191017,연합뉴스TV,molka,1
20191017,연합뉴스TV,profession,1
20191017,오마이뉴스,clean,62
20191017,오마이뉴스,profession,1
20191017,우먼동아일보,clean,5
20191017,우먼센스,clean,1
20191017,이데일리,clean,87
20191017,이데일리,gender,1
20191017,이데일리,profession,1
20191017,일간스포츠,clean,3
20191017,조선일보,clean,97
20191017,조선일보,profession,7
20191017,중앙SUNDAY,clean,1
20191017,중앙일보,abuse,1
20191017,중앙일보,clean,149
20191017,중앙일보,profession,1
20191017,지디넷코리아,clean,1
20191017,채널A,clean,21
20191017,쿠키뉴스,clean,121
20191017,파이낸셜뉴스,clean,151
20191017,프레시안,bearing,1
20191017,프레시안,clean,93
20191017,한겨레,clean,65
20191017,한국경제,clean,82
20191017,한국경제,profession,1
20191017,한국일보,clean,115
20191017,한국일보,gender,1
20191017,헤럴드경제,clean,115
20191018,EBS,clean,7
